uniqueID,CategoryGroupName,CG_Parameter,C_Parameter,PLU,Description,Price,URL
7541,Web Ticketing,WEBTIC,LECT,10140033,NightLife - VIP Tour,59,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180083,Bookworm,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180063,Special Lecture - Comp,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180060,Special Lecture - General,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180079,Explore the Park - Member,8,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7598,Web Ticketing,WEBTIC,REGS,10171003,Oceans and Climate Change,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=REGS
7541,Web Ticketing,WEBTIC,LECT,10180085,The Living Roof Project - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180015,Litquake - Adult,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180016,Litquake - Member,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180017,Litquake - Senior,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7598,Web Ticketing,WEBTIC,REGS,10171004,Fellows Dinner,60,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=REGS
7541,Web Ticketing,WEBTIC,LECT,10180086,SF Public Library,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180087,Author Event Forum,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180051,Lecture - General,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180052,Lecture - Senior,8,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180053,Lecture - Member,8,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
442,Membership,CASCTGP,DONAT2,10125102,Donation $25,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
442,Membership,CASCTGP,DONAT2,10125103,Donation $50,50,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
442,Membership,CASCTGP,DONAT2,10125105,Donation $100,100,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
442,Membership,CASCTGP,DONAT2,10125106,Donation $250,250,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
442,Membership,CASCTGP,DONAT2,10125107,Donation $500,500,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
442,Membership,CASCTGP,DONAT2,10125108,Donation $1000,1000,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=DONAT2
505,Membership,CASCTGP,MEMBER,10120010,Curators,2500,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120051,Scientists,5000,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
505,Membership,CASCTGP,MEMBER,10120052,Collectors,10000,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=CASCTGP&C=MEMBER
7541,Web Ticketing,WEBTIC,LECT,10180055,Informal Lecture,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180066,Special Event Lecture - General,18,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180067,Special Event Lecture - Senior,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7541,Web Ticketing,WEBTIC,LECT,10180068,Special Event Lecture - Member,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LECT
7618,Web Ticketing,WEBTIC,SOUNDINGS,10180121,Soundings Lecture,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SOUNDINGS
7618,Web Ticketing,WEBTIC,SOUNDINGS,10180123,Soundings Lecture Senior,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SOUNDINGS
7500,Web Ticketing,WEBTIC,EDUEXT,10160101,Educator Extravaganza,5,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EDUEXT
7534,Web Ticketing,WEBTIC,HW2012,10332052,SuperNatural Halloween - Adult General Admission,50,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012
7534,Web Ticketing,WEBTIC,HW2012,10332054,SuperNatural Halloween - Child General Admission,35,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012
7547,Web Ticketing,WEBTIC,LOCALM,10140401,Local Bites - Member,14.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LOCALM
7547,Web Ticketing,WEBTIC,LOCALM,10140402,Local Bites - Member Youth,9.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LOCALM
7622,Web Ticketing,WEBTIC,SPLECGENALASKA,10181005,Special Lecture:Alaska - General,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLECGENALASKA
7622,Web Ticketing,WEBTIC,SPLECGENALASKA,10181006,Special Lecture:Alaska - Senior,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLECGENALASKA
7624,Web Ticketing,WEBTIC,SPLEMEMALASKA,10181007,Special Lecture:Alaska - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLEMEMALASKA
7487,Web Ticketing,WEBTIC,DEANGA,10181001,Dean Lecture - General,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=DEANGA
7487,Web Ticketing,WEBTIC,DEANGA,10181002,Dean Lecture - Senior,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=DEANGA
7499,Web Ticketing,WEBTIC,ECOWISE,10180103,Girl Scout Eco-Wise Adult,24.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ECOWISE
7499,Web Ticketing,WEBTIC,ECOWISE,10180104,Girl Scout Eco-Wise Scout,24.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ECOWISE
7597,Web Ticketing,WEBTIC,PRITZKER,10181011,Pritzker Lecture - General,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=PRITZKER
7597,Web Ticketing,WEBTIC,PRITZKER,10181012,Pritzker Lecture - Senior,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=PRITZKER
7597,Web Ticketing,WEBTIC,PRITZKER,10181013,Pritzker Lecture - Member,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=PRITZKER
7540,Web Ticketing,WEBTIC,LEAKEYSYMP,10181020,Leakey Symposium - Adults,35,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYSYMP
7540,Web Ticketing,WEBTIC,LEAKEYSYMP,10181021,Leakey Symposium - Seniors,30,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYSYMP
7540,Web Ticketing,WEBTIC,LEAKEYSYMP,10181022,Leakey Symposium - Students/Educators,30,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYSYMP
7540,Web Ticketing,WEBTIC,LEAKEYSYMP,10181023,Leakey Symposium - Members,30,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYSYMP
7608,Web Ticketing,WEBTIC,SFPLIBRARY,10181026,SF Public Library Talk,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SFPLIBRARY
7467,Web Ticketing,WEBTIC,BIGBANGCORP,10332014,Big Bang Party After Dark - RSVP (21+),0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BIGBANGCORP
7583,Web Ticketing,WEBTIC,N101,10180112,Naturalist 101 - GA,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=N101
7458,Web Ticketing,WEBTIC,ARTWKSHP,10180114,Artist Workshop,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ARTWKSHP
7506,Web Ticketing,WEBTIC,EQPP,10332060,Earthquake Premiere Party - GA,69,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQPP
7506,Web Ticketing,WEBTIC,EQPP,10332062,Earthquake Planetarium,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQPP
7508,Web Ticketing,WEBTIC,EQVIP,10332064,Earthquake VIP w/ Planetarium,99,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQVIP
7505,Web Ticketing,WEBTIC,EQDINNER,10332067,Earthquake Dinner Package,199,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQDINNER
7507,Web Ticketing,WEBTIC,EQPPMEM,10332061,Earthquake Premiere Party - Member GA,49,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQPPMEM
7507,Web Ticketing,WEBTIC,EQPPMEM,10332063,Earthquake Planetarium - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=EQPPMEM
7623,Web Ticketing,WEBTIC,SPLECGENBREASTS,10181027,Special Lecture: Breasts - General,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLECGENBREASTS
7625,Web Ticketing,WEBTIC,SPLEMEMBREASTS,10181028,Special Lecture: Breasts - Member,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLEMEMBREASTS
7620,Web Ticketing,WEBTIC,SPECIALTY,10141001,Behind-the-Scenes: Aquarium Tour - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTY
7620,Web Ticketing,WEBTIC,SPECIALTY,10141101,Behind-the-Scenes: Academy Tour - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTY
7621,Web Ticketing,WEBTIC,SPECIALTYMEMBERS,10141011,Behind-the-Scenes: Aquarium Member - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTYMEMBERS
7621,Web Ticketing,WEBTIC,SPECIALTYMEMBERS,10141111,Behind-the-Scenes: Academy Member - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTYMEMBERS
7629,Web Ticketing,WEBTIC,SPLPOLAR,10181031,Special Lecture: Polar Bears - Adults,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLPOLAR
7629,Web Ticketing,WEBTIC,SPLPOLAR,10181032,Special Lecture: Polar Bears - Seniors,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLPOLAR
7628,Web Ticketing,WEBTIC,SPLMOBY,10181036,Special Lecture: Moby-Dick - Adults,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLMOBY
7628,Web Ticketing,WEBTIC,SPLMOBY,10181037,Special Lecture: Moby-Dick - Seniors,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLMOBY
7628,Web Ticketing,WEBTIC,SPLMOBY,10181039,Special Lecture: Moby-Dick - Opera Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLMOBY
7538,Web Ticketing,WEBTIC,LEAKEYGA,10181042,Leakey Lecture - General,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYGA
7538,Web Ticketing,WEBTIC,LEAKEYGA,10181043,Leakey Lecture - Senior,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYGA
7538,Web Ticketing,WEBTIC,LEAKEYGA,10181045,Leakey Lecture - Leakey Foundation Member,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYGA
7539,Web Ticketing,WEBTIC,LEAKEYM,10181044,Leakey Lecture - Member,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=LEAKEYM
7535,Web Ticketing,WEBTIC,HW2012B,10332050,SuperNatural Halloween - Borneo Bats Family Package,500,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012B
7535,Web Ticketing,WEBTIC,HW2012B,10332051,SuperNatural Halloween-Madagascar Chameleons Family Package,350,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012B
7535,Web Ticketing,WEBTIC,HW2012B,10332058,SuperNatural Halloween - Individual Benefactor Adult,100,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012B
7535,Web Ticketing,WEBTIC,HW2012B,10332059,SuperNatural Halloween - Individual Benefactor Child,85,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012B
7628,Web Ticketing,WEBTIC,SPLMOBY,10181038,Special Lecture: Moby-Dick - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLMOBY
7629,Web Ticketing,WEBTIC,SPLPOLAR,10181033,Special Lecture: Polar Bears - Member,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLPOLAR
7534,Web Ticketing,WEBTIC,HW2012,10332053,SuperNatural Halloween - Adult Member General Admission,50,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012
7534,Web Ticketing,WEBTIC,HW2012,10332055,SuperNatural Halloween - Child Member General Admission,35,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=HW2012
7511,Web Ticketing,WEBTIC,FELLOWS1,10171004,Fellows Dinner,60,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FELLOWS1
7620,Web Ticketing,WEBTIC,SPECIALTY,10141217,Adventure Tour: Aquarium GA - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTY
7620,Web Ticketing,WEBTIC,SPECIALTY,10141317,Adventure Tour: Rainforest GA - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTY
7621,Web Ticketing,WEBTIC,SPECIALTYMEMBERS,10141222,Adventure Tour: Aquarium Member - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTYMEMBERS
7621,Web Ticketing,WEBTIC,SPECIALTYMEMBERS,10141322,Adventure Tour: Rainforest Member - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPECIALTYMEMBERS
7643,Web Ticketing,WEBTIC,TISSWORK,10160665,Workshop Series - Teacher Institute Nature,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TISSWORK
7643,Web Ticketing,WEBTIC,TISSWORK,10160675,Workshop Series - Teacher Inst. Patterns in Art and Science,0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=TISSWORK
7514,Web Ticketing,WEBTIC,FivePercentOff,10151201,Adult Admission,28.45,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FivePercentOff
7514,Web Ticketing,WEBTIC,FivePercentOff,10151203,Child Admission,18.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FivePercentOff
7514,Web Ticketing,WEBTIC,FivePercentOff,10151204,Youth  Admission,23.7,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FivePercentOff
7514,Web Ticketing,WEBTIC,FivePercentOff,10151205,Student Admission,23.7,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FivePercentOff
7514,Web Ticketing,WEBTIC,FivePercentOff,10151206,Senior Admission,23.7,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=FivePercentOff
7477,Web Ticketing,WEBTIC,BTSSPECIALTY,10141001,Behind-the-Scenes: Aquarium Tour - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BTSSPECIALTY
7477,Web Ticketing,WEBTIC,BTSSPECIALTY,10141101,Behind-the-Scenes: Academy Tour - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BTSSPECIALTY
7454,Web Ticketing,WEBTIC,ADSPECIALTY,10141217,Adventure Tour: Aquarium GA - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ADSPECIALTY
7454,Web Ticketing,WEBTIC,ADSPECIALTY,10141317,Adventure Tour: Rainforest GA - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ADSPECIALTY
7478,Web Ticketing,WEBTIC,BTSSPECIALTYMEMBERS,10141011,Behind-the-Scenes: Aquarium Member - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BTSSPECIALTYMEMBERS
7478,Web Ticketing,WEBTIC,BTSSPECIALTYMEMBERS,10141111,Behind-the-Scenes: Academy Member - (Ages 8+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BTSSPECIALTYMEMBERS
7455,Web Ticketing,WEBTIC,ADSPECIALTYMEM,10141222,Adventure Tour: Aquarium Member - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ADSPECIALTYMEM
7455,Web Ticketing,WEBTIC,ADSPECIALTYMEM,10141322,Adventure Tour: Rainforest Member - (Ages 5+),54.95,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=ADSPECIALTYMEM
7630,Web Ticketing,WEBTIC,SSWORKSHOPS,10160132,Workshop - GEN-SF Teacher (Single Session),15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SSWORKSHOPS
7630,Web Ticketing,WEBTIC,SSWORKSHOPS,10160133,Workshop - NON-SF Teacher (Single Session),15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SSWORKSHOPS
7630,Web Ticketing,WEBTIC,SSWORKSHOPS,10160135,Workshop - TEACHER INST Teacher (Single Session),0,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SSWORKSHOPS
250242,eConsignment,EC,NL,10152211,Nightlife - Adult,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=EC&C=NL
250242,eConsignment,EC,NL,10152212,Nightlife - Adult,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=EC&C=NL
7471,Web Ticketing,WEBTIC,BRILLIANTGA,10181048,Brilliant!Science Body Art,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BRILLIANTGA
7472,Web Ticketing,WEBTIC,BRILLIANTM,10181051,Brilliant!Science Body Art Member,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BRILLIANTM
7471,Web Ticketing,WEBTIC,BRILLIANTGA,10181054,Brilliant!Science Body Art Gladstone Member,25,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=BRILLIANTGA
271297,Master Birding Course for the San Francisco Bay Area,MasterBirder,MasterBGen,10180105,Master Birding Course,700,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=MasterBirder&C=MasterBGen
271298,Master Birding Course for the San Francisco Bay Area,MasterBirder,MasterBMem,10180107,Master Birding Course - Member,700,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=MasterBirder&C=MasterBMem
271296,Master Birding Course for the San Francisco Bay Area,MasterBirder,MasterBAud,10180108,Master Birding Course - Audubon Member,700,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=MasterBirder&C=MasterBAud
7626,Web Ticketing,WEBTIC,SPLGULP,10181055,Special Lecture: GULP! - Adults,12,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLGULP
7626,Web Ticketing,WEBTIC,SPLGULP,10181056,Special Lecture: GULP! - Seniors,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLGULP
7627,Web Ticketing,WEBTIC,SPLGULPM,10181057,Special Lecture: GULP! - Member,10,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=SPLGULPM
7536,Web Ticketing,WEBTIC,KEPLER,10181060,Special Lecture: Kepler General Admission,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=KEPLER
7537,Web Ticketing,WEBTIC,KEPLERM,10181063,Special Lecture: Kepler Member,15,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=WEBTIC&C=KEPLERM
287502,Feb 2013 Member Month ToursNC,TOURSNC,TOURSNCC,10121202,Senior Mem Appreciation,79,https://ticketing.calacademy.org/webstore/shop/ViewItems.aspx?CG=TOURSNC&C=TOURSNCC
